Year,Energy (kWh),Revenue (VND),OPEX (VND),EBITDA (VND),Depreciation (VND),EBIT (VND),Interest (VND),Taxable Income (VND),Income Tax (VND),Net Income (VND),Principal (VND),Replacement (VND),Salvage (VND),Equity Cash Flow (VND),Discount Factor,Discounted Cash Flow (VND),Cumulative Cash Flow (VND),Loan Balance (VND),Operating Cash Flow (VND),Project Cash Flow (VND)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-242119560000.00003,1.0,-242119560000.00003,-242119560000.00003,,,
1,77198762.58453572,99123211158.54387,12351144000.0,86772067158.54387,40353260000.0,46418807158.54387,45195651200.0,1223155958.543869,244631191.70877382,978524766.8350952,12345310099.008453,0,0.0,28986474667.826645,0.9090909090909091,26351340607.11513,-213133085332.1734,552600329900.9916,41331784766.8351,41331784766.8351
2,76812768.77161303,100600147004.80618,12598166880.0,88001980124.80618,40353260000.0,47648720124.80618,44208026392.07933,3440693732.7268524,688138746.5453706,2752554986.181482,13332934906.929123,0,0.0,29772880079.252357,0.8264462809917354,24605686015.911037,-183360205252.92105,539267394994.06244,43105814986.18148,43105814986.18148
3,76428704.92775498,102099089195.1778,12850130217.6,89248958977.57779,40353260000.0,48895698977.57779,43141391599.524994,5754307378.052795,1150861475.6105592,4603445902.442236,14399569699.48346,0,0.0,30557136202.95878,0.7513148009015775,22958028702.44836,-152803069049.96228,524867825294.579,44956705902.44224,44956705902.44224
4,76046561.4031162,103620365624.18594,13107132821.952002,90513232802.23395,40353260000.0,50159972802.23395,41989426023.56632,8170546778.667625,1634109355.7335253,6536437422.9341,15551535275.442131,0,0.0,31338162147.491966,0.6830134553650705,21404386413.149345,-121464906902.4703,509316290019.13684,46889697422.9341,46889697422.9341
5,75666328.59610061,105164309071.9863,13369275478.391039,91795033593.59526,40353260000.0,51441773593.59526,40745303201.530945,10696470392.064316,2139294078.4128633,8557176313.651453,16795658097.477509,0,0.0,32114778216.173943,0.6209213230591549,19940750579.738052,-89350128686.29636,492520631921.6593,48910436313.65145,48910436313.65145
6,75287996.95312011,106731257277.1589,13636660987.95886,93094596289.20004,40353260000.0,52741336289.20004,39401650553.73274,13339685735.4673,2667937147.09346,10671748588.37384,18139310745.27571,0,0.0,32885697843.09813,0.5644739300537772,18563119104.054626,-56464430843.19823,474381321176.3836,51025008588.37384,51025008588.37384
7,74911556.96835451,108321553010.58858,13909394207.718039,94412158802.87054,40353260000.0,54058898802.870544,37950505694.11069,16108393108.759857,3221678621.7519717,12886714487.007885,19590455604.897766,0,0.0,33649518882.110123,0.5131581182307065,17267523788.912254,-22814911961.088104,454790865571.48584,53239974487.00789,53239974487.00789
8,74536999.18351273,109935544150.44633,14187582091.872398,95747962058.57394,40353260000.0,55394702058.573944,36383269245.718864,19011432812.85508,3802286562.5710163,15209146250.284063,21157692053.28959,0,0.0,34404714196.99448,0.4665073802097331,16050053086.904505,11589802235.906372,433633173518.1962,55562406250.284065,55562406250.284065
9,74164314.18759517,111573583758.288,14471333733.709848,97102250024.57814,40353260000.0,56748990024.57814,34690653881.455696,22058336143.122444,4411667228.624489,17646668914.497955,22850307417.552757,0,0.0,35149621496.9452,0.42409761837248455,14906870763.548744,46739423732.85157,410782866100.6435,57999928914.497955,57999928914.497955
10,73793492.6166572,113236030156.28648,14760760408.384045,98475269747.90244,40353260000.0,58122009747.902435,32862629288.05148,25259380459.850956,5051876091.970191,20207504367.880764,24678332010.956974,75000000000,0.0,-39117567643.0762,0.3855432894295314,-15081515703.593801,7621856089.775368,386104534089.6865,60560764367.88077,-14439235632.119232
11,73424525.15357392,114923247005.61516,15055975616.551727,99867271389.06343,40353260000.0,59514011389.06343,30888362727.174923,28625648661.888508,5725129732.377702,22900518929.510807,26652598571.83353,0,0.0,36601180357.67728,0.3504938994813922,12828490429.184046,44223036447.452644,359451935517.85297,63253778929.5108,63253778929.5108
12,73057402.52780604,116635603385.99883,15357095128.882761,101278508257.11606,40353260000.0,60925248257.11606,28756154841.428238,32169093415.68782,6433818683.137565,25735274732.550255,28784806457.580215,20000000000,0.0,17303728274.97004,0.3186308177103565,5513501089.691521,61526764722.42268,330667129060.27277,66088534732.550255,46088534732.550255
13,72692115.51516701,118373473876.4502,15664237031.460417,102709236844.98978,40353260000.0,62355976844.98978,26453370324.821823,35902606520.16795,7180521304.033591,28722085216.13436,31087590974.18663,0,0.0,37987754241.94774,0.2896643797366877,11003699270.083519,99514518964.37042,299579538086.0861,69075345216.13437,69075345216.13437
14,72328654.93759118,120137238637.20934,15977521772.089626,104159716865.1197,40353260000.0,63806456865.119705,23966363046.88689,39840093818.23282,7968018763.6465645,31872075054.586254,33574598252.121563,0,0.0,38650736802.46469,0.26333125430607973,10177947002.047184,138165255766.8351,266004939833.96457,72225335054.58626,72225335054.58626
15,71967011.66290322,121927283492.90375,16297072207.531418,105630211285.37233,40353260000.0,65276951285.37233,21280395186.717167,43996556098.65517,8799311219.731033,35197244878.92413,36260566112.29129,0,0.0,39289938766.63284,0.23939204936916333,9405698960.933174,177455194533.46796,229744373721.67328,75550504878.92413,75550504878.92413
16,71607176.6045887,123744000016.94801,16623013651.682047,107120986365.26596,40353260000.0,66767726365.26596,18379549897.733864,48388176467.5321,9677635293.50642,38710541174.02568,39161411401.27459,0,0.0,39902389772.75109,0.2176291357901485,8683922602.20548,217357584306.21906,190582962320.39868,79063801174.02568,79063801174.02568
17,71249140.72156575,125587785617.20053,16955473924.715689,108632311692.48485,40353260000.0,68279051692.48485,15246636985.631895,53032414706.85295,10606482941.37059,42425931765.48236,42294324313.37656,0,0.0,40484867452.105804,0.19784466890013497,8009715196.527723,257842451758.32486,148288638007.02213,82779191765.48236,82779191765.48236
18,70892895.01795793,127459043622.89682,17294583403.210003,110164460219.68681,40353260000.0,69811200219.68681,11863091040.56177,57948109179.125046,11589621835.82501,46358487343.30003,45677870258.446686,0,0.0,41033877084.85335,0.17985878990921358,7380303477.765132,298876328843.1782,102610767748.57544,86711747343.30003,86711747343.30003
19,70538430.54286814,129358183372.878,17640475071.274204,111717708301.6038,40353260000.0,71364448301.6038,8208861419.886035,63155586881.71777,12631117376.343555,50524469505.37422,49332099879.12242,0,0.0,41545629626.2518,0.16350799082655781,6793042427.812748,340421958469.43005,53278667869.45302,90877729505.37422,90877729505.37422
20,70185738.3901538,131285620305.13387,17993284572.699688,113292335732.43417,40353260000.0,72939075732.43417,4262293429.5562415,68676782302.87793,13735356460.575586,54941425842.302345,53278667869.45221,0,16000000000.0,58016017972.85013,0.14864362802414344,8623711394.998354,398437976442.28015,0.0008087158203125,95294685842.30234,111294685842.30234
