date,source_file,format_type,h0_m,h24_m,delta_h_reported_m,volume24_mcm,q_turbine_m3s,q_inflow_m3s,q_spill_m3s,q_evap_m3s,q_minflow_m3s,h24_inferred_from_next_h0,h_mean_m,delta_h_calc_m,delta_h_error_m,q_total_out_m3s,volume_delta_mcm,q_storage_equiv_m3s,water_balance_residual_m3s,qc_flags
2025-05-01,Muc nuoc ho Ham Thuan 5-2025.xlsx,may_simple,591.091,591.044,,,,,,0.76,,True,591.0675,-0.047000000000025466,,0.76,,,,missing_q_turbine;missing_q_inflow
2025-05-02,Muc nuoc ho Ham Thuan 5-2025.xlsx,may_simple,591.044,590.784,,,,,,0.72,,True,590.914,-0.2599999999999909,,0.72,,,,missing_q_turbine;missing_q_inflow
2025-05-03,Muc nuoc ho Ham Thuan 5-2025.xlsx,may_simple,590.784,590.65,,,,,,0.73,,True,590.717,-0.13400000000001455,,0.73,,,,missing_q_turbine;missing_q_inflow
2025-05-04,Muc nuoc ho Ham Thuan 5-2025.xlsx,may_simple,590.65,590.587,,,,,,0.69,,True,590.6185,-0.06299999999998818,,0.69,,,,missing_q_turbine;missing_q_inflow
2025-05-05,Muc nuoc ho Ham Thuan 5-2025.xlsx,may_simple,590.587,590.439,,,,,,0.71,,True,590.5129999999999,-0.14800000000002456,,0.71,,,,missing_q_turbine;missing_q_inflow
2025-05-06,Muc nuoc ho Ham Thuan 5-2025.xlsx,may_simple,590.439,590.189,,,,,,0.71,,True,590.314,-0.25,,0.71,,,,missing_q_turbine;missing_q_inflow
2025-05-07,Muc nuoc ho Ham Thuan 5-2025.xlsx,may_simple,590.189,589.805,,,,,,0.72,,True,589.997,-0.38400000000001455,,0.72,,,,missing_q_turbine;missing_q_inflow
2025-05-08,Muc nuoc ho Ham Thuan 5-2025.xlsx,may_simple,589.805,589.525,,,,,,0.71,,True,589.665,-0.2799999999999727,,0.71,,,,missing_q_turbine;missing_q_inflow
2025-05-09,Muc nuoc ho Ham Thuan 5-2025.xlsx,may_simple,589.525,589.221,,,,,,0.72,,True,589.373,-0.3039999999999736,,0.72,,,,missing_q_turbine;missing_q_inflow
2025-05-10,Muc nuoc ho Ham Thuan 5-2025.xlsx,may_simple,589.221,588.977,,,,,,0.68,,True,589.0989999999999,-0.2440000000000282,,0.68,,,,missing_q_turbine;missing_q_inflow
2025-05-11,Muc nuoc ho Ham Thuan 5-2025.xlsx,may_simple,588.977,588.918,,,,,,0.65,,True,588.9475,-0.05899999999996908,,0.65,,,,missing_q_turbine;missing_q_inflow
2025-05-12,Muc nuoc ho Ham Thuan 5-2025.xlsx,may_simple,588.918,588.654,,,,,,0.67,,True,588.7860000000001,-0.26400000000001,,0.67,,,,missing_q_turbine;missing_q_inflow
