variable,count,missing,min,mean,max
h0_m,92,0,584.26,586.2937173913042,591.091
h24_m,92,0,584.26,586.2665217391304,591.044
delta_h_reported_m,61,31,-0.27699999999992997,0.03883606557376909,0.4940000000000282
volume24_mcm,61,31,283.749,299.28355737704914,350.795
q_turbine_m3s,61,31,0.0,48.78196721311476,88.6
q_inflow_m3s,61,31,16.12,56.54819672131148,119.75
q_spill_m3s,61,31,0.0,0.0,0.0
q_evap_m3s,92,0,0.43,0.58,0.76
q_minflow_m3s,61,31,0.0,0.0,0.0
h_mean_m,92,0,584.2725,586.2801195652174,591.0675
delta_h_calc_m,92,0,-0.38400000000001455,-0.027195652173913766,0.4940000000000282
delta_h_error_m,61,31,0.0,0.0,0.0
q_total_out_m3s,92,0,0.49,32.9245652173913,89.16
volume_delta_mcm,60,32,-4.275000000000034,0.6110500000000002,7.810000000000002
q_storage_equiv_m3s,60,32,-49.47916666666706,7.072337962962965,90.39351851851853
water_balance_residual_m3s,60,32,-0.011851851851886863,0.0010046296296313633,0.017407407407283415
