year,initial_Pmax_Wp,remaining_capacity_percent,aging_loss_percent,remaining_Pmax_Wp,annual_degradation_percent,plant_initial_capacity_MWp,plant_remaining_capacity_MWp,estimated_module_count,source,note
0,550.0,100.0,0.0,550.0,0.0,47.5,47.5,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
1,550.0,98.0,2.0,539.0,2.0,47.5,46.55,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
2,550.0,97.55,2.450000000000003,536.525,0.45,47.5,46.33625,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
3,550.0,97.1,2.9000000000000057,534.05,0.45,47.5,46.1225,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
4,550.0,96.65,3.3499999999999943,531.575,0.45,47.5,45.90875,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
5,550.0,96.2,3.799999999999997,529.1,0.45,47.5,45.695,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
6,550.0,95.75,4.25,526.625,0.45,47.5,45.48125,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
7,550.0,95.3,4.700000000000003,524.15,0.45,47.5,45.2675,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
8,550.0,94.85,5.150000000000006,521.675,0.45,47.5,45.05375,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
9,550.0,94.4,5.599999999999994,519.2,0.45,47.5,44.84,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
10,550.0,93.95,6.049999999999997,516.725,0.45,47.5,44.62625,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
11,550.0,93.5,6.5,514.25,0.45,47.5,44.4125,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
12,550.0,93.05,6.950000000000003,511.775,0.45,47.5,44.19875,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
13,550.0,92.6,7.400000000000006,509.3,0.45,47.5,43.985,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
14,550.0,92.15,7.849999999999994,506.825,0.45,47.5,43.77125,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
15,550.0,91.7,8.299999999999997,504.35,0.45,47.5,43.5575,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
16,550.0,91.25,8.75,501.875,0.45,47.5,43.34375,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
17,550.0,90.8,9.200000000000003,499.4,0.45,47.5,43.13,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
18,550.0,90.35,9.650000000000006,496.925,0.45,47.5,42.91625,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
19,550.0,89.9,10.099999999999994,494.45,0.45,47.5,42.7025,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
20,550.0,89.45,10.549999999999997,491.975,0.45,47.5,42.48875,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
21,550.0,89.0,11.0,489.5,0.45,47.5,42.275,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
22,550.0,88.55,11.450000000000003,487.025,0.45,47.5,42.06125,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
23,550.0,88.1,11.900000000000006,484.55,0.45,47.5,41.8475,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
24,550.0,87.65,12.349999999999994,482.075,0.45,47.5,41.63375,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
25,550.0,87.2,12.799999999999997,479.6,0.45,47.5,41.42,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
26,550.0,86.75,13.25,477.125,0.45,47.5,41.20625,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
27,550.0,86.3,13.700000000000003,474.65,0.45,47.5,40.9925,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
28,550.0,85.85,14.150000000000006,472.175,0.45,47.5,40.778749999999995,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
29,550.0,85.4,14.599999999999994,469.7,0.45,47.5,40.565000000000005,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
30,550.0,84.95,15.049999999999997,467.225,0.45,47.5,40.35125,86363.63636363637,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
