timestamp,bess_cmd,bess_power_ac_kw,soc,soc_end,soh,energy_in_kwh,energy_out_kwh
2025-01-01 00:00:00,IDLE,0,50.0,50.0,100.0,0.0,0.0
2025-01-01 00:30:00,CHARGE,3500,50.0,70.8,100.0,1662.5,0.0
2025-01-01 01:00:00,CHARGE,4000,70.8,94.6,100.0,1900.0,0.0
2025-01-01 01:30:00,IDLE,0,94.6,94.6,100.0,0.0,0.0
2025-01-01 02:00:00,DISCHARGE,-4000,94.6,71.0,100.0,0.0,2105.3
2025-01-01 02:30:00,DISCHARGE,-4000,71.0,47.4,100.0,0.0,2105.3
2025-01-01 03:00:00,DISCHARGE,-4000,47.4,23.8,100.0,0.0,2105.3
2025-01-01 03:30:00,IDLE,0,23.8,23.8,100.0,0.0,0.0
2025-01-01 04:00:00,CHARGE,2500,23.8,38.6,99.99,1187.5,0.0
2025-01-01 04:30:00,CHARGE,2500,38.6,53.4,99.99,1187.5,0.0
