cycle,time_range,wind_ms,temp_air_c,temp_pv_c,irradiance_poa_wm2,p_431_mw,q_431_mvar,p_calc_irr_mw,p_meter_431_mw,dhd_mw,a0_mw,selected_mw,dev_dhd_pct,dev_a0_pct,p_setpoint_agc_mw,p_curtail_mw,evaluation,date,source_file,datetime,month,day,hour,minute,day_of_year,is_daytime,hour_float,hour_sin,hour_cos,doy_sin,doy_cos,irradiance_poa_wm2_lag1,irradiance_poa_wm2_lag2,temp_air_c_lag1,temp_pv_c_lag1,wind_ms_lag1,p_meter_431_mw_lag1
1,00:00 - 00:30,1.2,24.1,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2025-03-01,Bao cao ngay DHD 01-03-2025.xlsx,2025-03-01 00:00:00,3,1,0,0,60,False,0.0,0.0,1.0,0.8584015232918917,0.512978386299228,,,,,,
2,00:30 - 01:00,1.3,23.8,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2025-03-01,Bao cao ngay DHD 01-03-2025.xlsx,2025-03-01 00:30:00,3,1,0,30,60,False,0.5,0.13052619222005157,0.9914448613738104,0.8584015232918917,0.512978386299228,0.0,,24.1,22.5,1.2,0.0
3,01:00 - 01:30,1.1,23.6,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2025-03-01,Bao cao ngay DHD 01-03-2025.xlsx,2025-03-01 01:00:00,3,1,1,0,60,False,1.0,0.25881904510252074,0.9659258262890683,0.8584015232918917,0.512978386299228,0.0,0.0,23.8,22.3,1.3,0.0
4,01:30 - 02:00,1.6,23.6,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2025-03-01,Bao cao ngay DHD 01-03-2025.xlsx,2025-03-01 01:30:00,3,1,1,30,60,False,1.5,0.3826834323650898,0.9238795325112867,0.8584015232918917,0.512978386299228,0.0,0.0,23.6,22.1,1.1,0.0
5,02:00 - 02:30,1.4,23.4,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2025-03-01,Bao cao ngay DHD 01-03-2025.xlsx,2025-03-01 02:00:00,3,1,2,0,60,False,2.0,0.49999999999999994,0.8660254037844387,0.8584015232918917,0.512978386299228,0.0,0.0,23.6,22.0,1.6,0.0
6,02:30 - 03:00,1.1,23.3,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2025-03-01,Bao cao ngay DHD 01-03-2025.xlsx,2025-03-01 02:30:00,3,1,2,30,60,False,2.5,0.6087614290087207,0.7933533402912352,0.8584015232918917,0.512978386299228,0.0,0.0,23.4,21.9,1.4,0.0
7,03:00 - 03:30,0.9,23.1,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2025-03-01,Bao cao ngay DHD 01-03-2025.xlsx,2025-03-01 03:00:00,3,1,3,0,60,False,3.0,0.7071067811865476,0.7071067811865476,0.8584015232918917,0.512978386299228,0.0,0.0,23.3,21.7,1.1,0.0
8,03:30 - 04:00,1.4,22.9,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2025-03-01,Bao cao ngay DHD 01-03-2025.xlsx,2025-03-01 03:30:00,3,1,3,30,60,False,3.5,0.7933533402912352,0.6087614290087207,0.8584015232918917,0.512978386299228,0.0,0.0,23.1,21.6,0.9,0.0
9,04:00 - 04:30,0.9,23.5,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2025-03-01,Bao cao ngay DHD 01-03-2025.xlsx,2025-03-01 04:00:00,3,1,4,0,60,False,4.0,0.8660254037844386,0.5000000000000001,0.8584015232918917,0.512978386299228,0.0,0.0,22.9,21.6,1.4,0.0
10,04:30 - 05:00,1.8,22.8,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2025-03-01,Bao cao ngay DHD 01-03-2025.xlsx,2025-03-01 04:30:00,3,1,4,30,60,False,4.5,0.9238795325112867,0.38268343236508984,0.8584015232918917,0.512978386299228,0.0,0.0,23.5,21.9,0.9,0.0
