datetime,date,irradiance_poa_wm2,temp_pv_c,pv_power_calc
2025-03-01 00:00:00,2025-03-01,0.0,22.5,0.0
2025-03-01 00:30:00,2025-03-01,0.0,22.3,0.0
2025-03-01 01:00:00,2025-03-01,0.0,22.1,0.0
2025-03-01 01:30:00,2025-03-01,0.0,22.0,0.0
2025-03-01 02:00:00,2025-03-01,0.0,21.9,0.0
2025-03-01 02:30:00,2025-03-01,0.0,21.7,0.0
2025-03-01 03:00:00,2025-03-01,0.0,21.6,0.0
2025-03-01 03:30:00,2025-03-01,0.0,21.6,0.0
2025-03-01 04:00:00,2025-03-01,0.0,21.9,0.0
2025-03-01 04:30:00,2025-03-01,0.0,21.3,0.0
2025-03-01 05:00:00,2025-03-01,0.0,21.2,0.0
2025-03-01 05:30:00,2025-03-01,0.0,21.4,0.0
2025-03-01 06:00:00,2025-03-01,16.4,22.1,0.7473468929999999
2025-03-01 06:30:00,2025-03-01,99.1,22.8,4.5053372184999985
2025-03-01 07:00:00,2025-03-01,193.2,24.1,8.744827539
2025-03-01 07:30:00,2025-03-01,321.9,30.5,14.254106208749999
2025-03-01 08:00:00,2025-03-01,445.3,35.6,19.369968883499997
2025-03-01 08:30:00,2025-03-01,568.8,42.0,24.183541619999996
2025-03-01 09:00:00,2025-03-01,677.3,46.4,28.339386796499998
2025-03-01 09:30:00,2025-03-01,774.0,48.4,32.14797777
2025-03-01 10:00:00,2025-03-01,847.5,53.6,34.5246456375
2025-03-01 10:30:00,2025-03-01,914.2,57.3,36.7228403395
2025-03-01 11:00:00,2025-03-01,957.6,58.7,38.26050341399999
2025-03-01 11:30:00,2025-03-01,984.4,58.5,39.361492405
2025-03-01 12:00:00,2025-03-01,1004.7,60.0,39.9419740875
2025-03-01 12:30:00,2025-03-01,1004.7,54.8,40.7435337945
2025-03-01 13:00:00,2025-03-01,765.9,56.8,30.824476501500005
2025-03-01 13:30:00,2025-03-01,479.1,49.9,19.789090154250005
2025-03-01 14:00:00,2025-03-01,734.1,47.4,30.60336634799999
2025-03-01 14:30:00,2025-03-01,659.9,43.1,27.945450149249993
2025-03-01 15:00:00,2025-03-01,460.7,38.7,19.82073180425
2025-03-01 15:30:00,2025-03-01,176.1,35.1,7.67362926075
2025-03-01 16:00:00,2025-03-01,175.2,35.1,7.634411393999999
2025-03-01 16:30:00,2025-03-01,143.4,32.0,6.316916985
2025-03-01 17:00:00,2025-03-01,85.4,29.4,3.7960240219999997
2025-03-01 17:30:00,2025-03-01,15.5,27.2,0.6942057074999999
2025-03-01 18:00:00,2025-03-01,0.0,25.5,0.0
